timestamp,esp1_vib,esp2_vib,esp1_x,esp1_y,esp1_z,esp2_x,esp2_y,esp2_z,Output
2025-09-14 14:57:16,0,0,1594,1312,1386,1850,1523,1408,1
2025-09-14 14:57:17,0,1,1609,1319,1397,1861,1534,1408,1
2025-09-14 14:57:18,1,0,1577,1315,1392,1841,1531,1399,1
2025-09-14 14:57:20,1,0,1570,1321,1386,1834,1523,1393,1
2025-09-14 14:57:21,1,1,1625,1321,1409,1840,1535,1406,1
2025-09-14 14:57:22,1,0,1595,1307,1372,1808,1535,1382,1
2025-09-14 14:57:24,0,1,1587,1313,1387,1841,1520,1393,1
2025-09-14 14:57:25,0,0,1601,1319,1402,1851,1530,1402,1
2025-09-14 14:57:26,0,0,1584,1308,1403,1856,1530,1394,1
2025-09-14 14:57:27,0,0,1602,1321,1393,1842,1524,1392,1
2025-09-14 14:57:29,0,0,1607,1327,1397,1850,1531,1396,1
2025-09-14 14:57:30,0,1,1584,1320,1377,1858,1552,1411,1
2025-09-14 14:57:31,0,1,1587,1322,1389,1858,1535,1408,1
2025-09-14 14:57:33,1,1,1594,1311,1397,1889,1535,1426,1
2025-09-14 14:57:34,1,0,1577,1309,1394,1862,1531,1408,1
2025-09-14 14:57:35,1,1,1632,1296,1399,1864,1532,1413,1
2025-09-14 14:57:37,1,1,1688,1301,1395,1885,1535,1415,1
2025-09-14 14:57:38,0,0,1627,1310,1424,1841,1488,1413,1
2025-09-14 14:57:39,0,0,1788,1302,1345,1861,1521,1396,1
2025-09-14 14:57:40,0,1,1595,1301,1412,1837,1534,1394,1
2025-09-14 14:57:42,0,1,1593,1294,1424,1850,1529,1403,1
2025-09-14 14:57:43,0,0,1616,1323,1397,1849,1533,1399,1
2025-09-14 14:57:44,1,0,1605,1315,1391,1796,1584,1345,1
2025-09-14 14:57:46,1,1,1621,1279,1446,2146,1472,1534,1
2025-09-14 14:57:47,1,0,1622,1343,1359,1873,1520,1417,1
2025-09-14 14:57:48,1,1,1600,1321,1397,1856,1535,1408,1
2025-09-14 14:57:50,1,1,1606,1326,1397,1844,1535,1407,1
2025-09-14 14:57:51,1,1,1595,1309,1392,1854,1535,1408,1
2025-09-14 14:57:52,1,1,1600,1311,1397,1853,1535,1406,1
2025-09-14 14:57:54,1,0,1607,1330,1407,1840,1525,1399,1
2025-09-14 14:57:55,0,1,1598,1317,1395,1853,1535,1408,1
2025-09-14 14:57:56,1,1,1579,1313,1372,1920,1686,1296,1
2025-09-14 14:57:57,1,1,1586,1311,1382,1856,1535,1413,1
2025-09-14 14:57:59,1,1,1585,1312,1392,1862,1535,1410,1
2025-09-14 14:58:00,1,1,1600,1315,1398,1853,1510,1431,1
2025-09-14 14:58:01,1,1,1602,1315,1392,1856,1535,1411,1
2025-09-14 14:58:03,1,0,1602,1305,1409,1870,1523,1413,1
2025-09-14 14:58:04,1,0,1588,1313,1382,1842,1526,1396,1
2025-09-14 14:58:05,1,1,1585,1307,1392,1856,1535,1408,1
2025-09-14 14:58:06,0,0,1603,1326,1401,1840,1526,1394,1
2025-09-14 14:58:08,0,1,1587,1315,1389,1852,1535,1406,1
2025-09-14 14:58:09,1,0,1610,1309,1392,1846,1518,1411,1
2025-09-14 14:58:10,1,1,1595,1313,1392,1852,1535,1411,1
2025-09-14 14:58:12,1,1,1591,1311,1390,1859,1535,1414,1
2025-09-14 14:58:13,1,0,1606,1326,1408,1840,1522,1393,1
2025-09-14 14:58:14,1,1,1589,1307,1392,1840,1523,1392,1
2025-09-14 14:58:16,1,1,1586,1308,1387,1854,1535,1408,1
2025-09-14 14:58:17,1,1,1579,1309,1386,1855,1535,1405,1
2025-09-14 14:58:18,1,1,1584,1301,1392,2221,1466,1554,1
2025-09-14 14:58:20,1,0,1590,1318,1406,1823,1523,1391,1
2025-09-14 14:58:21,0,0,1573,1315,1393,1827,1521,1391,1
2025-09-14 14:58:22,0,0,1572,1307,1387,1842,1527,1416,1
2025-09-14 14:58:23,1,0,1574,1326,1417,1849,1525,1394,1
2025-09-14 14:58:24,1,1,1665,1334,1367,1866,1535,1414,1
2025-09-14 14:58:26,1,1,1631,1328,1405,1847,1520,1398,1
2025-09-14 14:58:27,1,1,1606,1325,1398,1860,1535,1413,1
2025-09-14 14:58:28,1,0,1610,1325,1408,1837,1527,1397,1
2025-09-14 14:58:30,1,0,1602,1327,1397,1847,1529,1398,1
2025-09-14 14:58:31,0,0,1584,1310,1388,1850,1529,1397,1
2025-09-14 14:58:32,0,1,1588,1312,1387,1858,1535,1408,1
2025-09-14 14:58:33,0,1,1591,1310,1383,1849,1532,1404,1
2025-09-14 14:58:35,0,0,1599,1315,1392,1835,1520,1395,1
2025-09-14 14:58:36,1,1,1616,1324,1391,1825,1535,1393,1
2025-09-14 14:58:38,1,0,1501,1360,1351,1765,1533,1385,1
2025-09-14 14:58:39,1,1,1591,1325,1410,1846,1535,1407,1
2025-09-14 14:58:40,1,1,1591,1321,1403,1843,1535,1407,1
2025-09-14 14:58:42,0,0,1583,1315,1399,1851,1505,1408,1
2025-09-14 14:58:43,0,0,1578,1307,1395,1885,1531,1404,1
2025-09-14 14:58:45,1,1,1559,1323,1395,1872,1535,1416,1
2025-09-14 14:58:46,1,0,1610,1322,1402,1855,1535,1408,1
2025-09-14 14:58:47,1,0,1593,1327,1406,1854,1531,1411,1
2025-09-14 14:58:48,0,1,1600,1326,1397,1851,1535,1408,1
2025-09-14 14:58:49,0,0,1582,1306,1386,1839,1524,1396,1
2025-09-14 14:58:50,0,1,1601,1327,1406,1855,1535,1408,1
2025-09-14 14:58:52,0,0,1600,1322,1402,1847,1527,1401,1
2025-09-14 14:58:53,0,1,1605,1323,1396,1850,1535,1407,1
2025-09-14 14:58:54,0,1,1599,1326,1403,1848,1527,1401,1
2025-09-14 14:58:55,0,0,1604,1328,1396,1846,1531,1396,1
2025-09-14 14:58:57,0,1,1606,1322,1403,1857,1535,1412,1
2025-09-14 14:58:58,0,1,1602,1327,1398,1861,1535,1414,1
2025-09-14 14:58:59,0,0,1600,1327,1396,1841,1523,1396,1
2025-09-14 14:59:01,0,0,1599,1319,1402,1840,1531,1392,1
2025-09-14 14:59:02,0,0,1604,1323,1392,1840,1530,1398,1
2025-09-14 14:59:03,0,0,1601,1327,1407,1863,1535,1413,1
2025-09-14 14:59:04,0,0,1603,1322,1403,1836,1520,1392,1
2025-09-14 14:59:06,1,0,1328,1329,1456,1579,1603,1266,1
2025-09-14 14:59:07,1,0,1739,1315,1326,1837,1535,1381,1
2025-09-14 14:59:08,1,0,1639,1318,1386,1924,1611,1353,1
2025-09-14 14:59:10,1,1,1616,1328,1401,1863,1535,1410,1
2025-09-14 14:59:11,1,0,1610,1328,1398,1872,1494,1442,1
2025-09-14 14:59:12,1,1,1798,1354,1298,1751,1377,1475,1
2025-09-14 14:59:13,1,1,1375,1339,1443,1616,1443,1402,1
2025-09-14 14:59:15,1,1,1619,1322,1392,1844,1534,1406,1
2025-09-14 14:59:16,1,1,1610,1316,1410,1840,1555,1391,1
2025-09-14 14:59:17,1,1,1561,1333,1390,1903,1535,1393,1
